year,id_,educ,satjob,satfin,satsoc,satlife
2018,1165,16,Very satisfied,More or less satisfied,Very good,Completely satisfied
2018,1166,16,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,1167,16,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1168,12,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,1169,12,.i:  Inapplicable,More or less satisfied,Very good,Mostly satisfied
2018,1170,16,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,1171,16,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,1172,12,Moderately satisfied,More or less satisfied,Poor,.i:  Inapplicable
2018,1173,12,Very satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1174,18,Moderately satisfied,More or less satisfied,Good,Neither satisfied nor dissatisfied
2018,1175,16,Very satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,1176,12,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,1177,13,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1178,12,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,1179,12,.i:  Inapplicable,More or less satisfied,Good,Mostly satisfied
2018,1180,12,Moderately satisfied,Not satisfied at all,Poor,Somewhat dissatisfied
2018,1181,13,Moderately satisfied,More or less satisfied,Fair,Mostly satisfied
2018,1182,13,A little dissatisfied,More or less satisfied,Poor,.i:  Inapplicable
2018,1183,12,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,1184,10,.i:  Inapplicable,Not satisfied at all,Fair,Neither satisfied nor dissatisfied
2018,1185,16,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1186,16,.i:  Inapplicable,Pretty well satisfied,Good,Somewhat satisfied
2018,1187,17,.i:  Inapplicable,Pretty well satisfied,Excellent,Completely satisfied
2018,1188,12,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,1189,12,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1190,16,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1191,14,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1192,12,.i:  Inapplicable,Pretty well satisfied,Excellent,Completely satisfied
2018,1193,14,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1194,11,.i:  Inapplicable,More or less satisfied,Fair,Completely dissatisfied
2018,1195,18,.i:  Inapplicable,More or less satisfied,Very good,Mostly satisfied
2018,1196,12,.i:  Inapplicable,Pretty well satisfied,Excellent,Completely satisfied
2018,1197,16,A little dissatisfied,More or less satisfied,Fair,Somewhat dissatisfied
2018,1198,12,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1199,17,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,1200,11,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1201,12,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,1202,16,Very dissatisfied,More or less satisfied,Good,Mostly satisfied
2018,1203,16,.i:  Inapplicable,Pretty well satisfied,Excellent,Mostly satisfied
2018,1204,16,A little dissatisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1205,14,.i:  Inapplicable,More or less satisfied,Very good,Somewhat satisfied
2018,1206,18,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1207,14,A little dissatisfied,More or less satisfied,Very good,Mostly satisfied
2018,1208,12,.i:  Inapplicable,Not satisfied at all,Fair,.i:  Inapplicable
2018,1209,12,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,1210,12,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,1211,13,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1212,15,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1213,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1214,16,Moderately satisfied,More or less satisfied,Excellent,Mostly satisfied
2018,1215,11,A little dissatisfied,Not satisfied at all,Fair,Somewhat satisfied
2018,1216,13,Moderately satisfied,Pretty well satisfied,Fair,.i:  Inapplicable
2018,1217,14,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,1218,12,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,1219,12,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,1220,16,.i:  Inapplicable,More or less satisfied,Fair,Somewhat satisfied
2018,1221,16,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1222,12,Moderately satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,1223,11,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1224,8,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,1225,14,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,1226,20,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,1227,11,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,1228,13,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,1229,10,Very satisfied,Not satisfied at all,Good,Somewhat satisfied
2018,1230,15,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1231,12,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1232,12,Moderately satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1233,14,Moderately satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,1234,16,A little dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1235,17,Very satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,1236,16,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1237,14,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1238,15,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1239,15,Very satisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,1240,12,.d:  Do not Know/Cannot Choose,More or less satisfied,Good,.i:  Inapplicable
2018,1241,17,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1242,18,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1243,16,Moderately satisfied,Not satisfied at all,Very good,Mostly satisfied
2018,1244,18,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,1245,12,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,1246,11,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,1247,13,Very satisfied,Pretty well satisfied,Very good,Completely satisfied
2018,1248,12,Very dissatisfied,Pretty well satisfied,Good,Mostly satisfied
2018,1249,9,Very satisfied,Pretty well satisfied,Very good,Completely satisfied
2018,1250,12,Very satisfied,Pretty well satisfied,Fair,.i:  Inapplicable
2018,1251,13,Very dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1252,12,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,1253,16,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,1254,12,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,1255,13,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,1256,12,Very satisfied,More or less satisfied,Good,Somewhat satisfied
2018,1257,12,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,1258,12,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1259,12,Very satisfied,Not satisfied at all,Fair,Somewhat satisfied
2018,1260,16,Moderately satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,1261,16,Moderately satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,1262,14,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,1263,16,Moderately satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,1264,16,.i:  Inapplicable,Pretty well satisfied,Excellent,Completely satisfied
2018,1265,16,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1266,16,A little dissatisfied,Not satisfied at all,Good,Somewhat satisfied
2018,1267,15,A little dissatisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,1268,5,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,1269,14,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,1270,17,A little dissatisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,1271,14,.i:  Inapplicable,More or less satisfied,Excellent,.i:  Inapplicable
2018,1272,10,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,1273,15,A little dissatisfied,More or less satisfied,Good,Neither satisfied nor dissatisfied
2018,1274,12,A little dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1275,16,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1276,11,Very satisfied,Not satisfied at all,Good,Neither satisfied nor dissatisfied
2018,1277,3,Moderately satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1278,20,.i:  Inapplicable,More or less satisfied,Excellent,Mostly satisfied
2018,1279,16,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1280,12,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1281,16,Very satisfied,More or less satisfied,Excellent,Mostly satisfied
2018,1282,16,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,1283,16,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1284,11,Very satisfied,Not satisfied at all,Good,Somewhat satisfied
2018,1285,12,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1286,9,Very dissatisfied,More or less satisfied,Good,Somewhat satisfied
2018,1287,18,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1288,17,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,1289,14,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1290,15,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,1291,20,Very satisfied,Not satisfied at all,Good,Somewhat satisfied
2018,1292,12,Very satisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,1293,14,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1294,12,Very dissatisfied,More or less satisfied,Very good,Somewhat satisfied
2018,1295,11,Very satisfied,Pretty well satisfied,Good,Completely satisfied
2018,1296,9,A little dissatisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,1297,14,.i:  Inapplicable,More or less satisfied,Good,Mostly satisfied
2018,1298,12,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,1299,11,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,1300,12,Very dissatisfied,More or less satisfied,Poor,.i:  Inapplicable
2018,1301,16,Moderately satisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,1302,15,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1303,14,.i:  Inapplicable,.n:  No answer,Fair,Neither satisfied nor dissatisfied
2018,1304,16,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1305,12,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,1306,18,.i:  Inapplicable,More or less satisfied,Excellent,.i:  Inapplicable
2018,1307,12,.n:  No answer,Pretty well satisfied,Very good,Mostly satisfied
2018,1308,12,.i:  Inapplicable,More or less satisfied,Good,Mostly satisfied
2018,1309,16,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,1310,12,.i:  Inapplicable,Not satisfied at all,Poor,.i:  Inapplicable
2018,1311,13,A little dissatisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1312,8,Moderately satisfied,More or less satisfied,Poor,.i:  Inapplicable
2018,1313,12,.i:  Inapplicable,More or less satisfied,Fair,Neither satisfied nor dissatisfied
2018,1314,14,Very satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,1315,14,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1316,16,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1317,12,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1318,16,Moderately satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,1319,12,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,1320,16,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1321,12,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,1322,12,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,1323,13,Very satisfied,Pretty well satisfied,.n:  No answer,.i:  Inapplicable
2018,1324,12,Very satisfied,Not satisfied at all,Excellent,Mostly satisfied
2018,1325,14,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1326,10,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,1327,12,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,1328,12,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,1329,12,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1330,12,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1331,12,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,1332,17,Moderately satisfied,More or less satisfied,Good,Mostly satisfied
2018,1333,12,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,1334,14,Very satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,1335,18,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,1336,3,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,1337,16,.i:  Inapplicable,More or less satisfied,Very good,Mostly satisfied
2018,1338,16,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,1339,12,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,1340,3,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,1341,10,.i:  Inapplicable,More or less satisfied,Very good,Somewhat satisfied
2018,1342,6,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,1343,14,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1344,12,Moderately satisfied,More or less satisfied,Very good,Completely satisfied
2018,1345,13,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1346,13,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1347,14,A little dissatisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,1348,10,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,1349,18,Moderately satisfied,Not satisfied at all,Very good,Mostly satisfied
2018,1350,13,.n:  No answer,Not satisfied at all,Good,.i:  Inapplicable
2018,1351,13,.i:  Inapplicable,Pretty well satisfied,Very good,Somewhat satisfied
2018,1352,15,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1353,15,Very dissatisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1354,12,Very satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,1355,12,Very satisfied,Not satisfied at all,Poor,Completely satisfied
2018,1356,20,.i:  Inapplicable,More or less satisfied,Good,.i:  Inapplicable
2018,1357,14,.i:  Inapplicable,Pretty well satisfied,Excellent,Mostly satisfied
2018,1358,16,.i:  Inapplicable,More or less satisfied,Very good,Completely satisfied
2018,1359,18,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,1360,14,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1361,14,.i:  Inapplicable,More or less satisfied,Good,.i:  Inapplicable
2018,1362,15,.i:  Inapplicable,Pretty well satisfied,Excellent,Mostly satisfied
2018,1363,12,Moderately satisfied,Not satisfied at all,.n:  No answer,.i:  Inapplicable
2018,1364,12,.i:  Inapplicable,More or less satisfied,Good,Mostly satisfied
2018,1365,12,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,1366,10,.i:  Inapplicable,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1367,12,Moderately satisfied,Not satisfied at all,Fair,Somewhat satisfied
2018,1368,16,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,1369,12,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1370,14,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1371,12,A little dissatisfied,Pretty well satisfied,Fair,Somewhat satisfied
2018,1372,14,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1373,18,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1374,12,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1375,16,Very satisfied,More or less satisfied,Very good,Completely satisfied
2018,1376,14,Moderately satisfied,Pretty well satisfied,Fair,.i:  Inapplicable
2018,1377,16,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,1378,15,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1379,13,.i:  Inapplicable,Pretty well satisfied,Very good,Somewhat satisfied
2018,1380,16,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1381,3,.i:  Inapplicable,More or less satisfied,Fair,Mostly satisfied
2018,1382,14,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1383,14,A little dissatisfied,Not satisfied at all,Very good,Neither satisfied nor dissatisfied
2018,1384,19,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,1385,18,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,1386,16,.i:  Inapplicable,Pretty well satisfied,Excellent,Completely satisfied
2018,1387,8,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1388,14,.i:  Inapplicable,More or less satisfied,Excellent,Mostly satisfied
2018,1389,20,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1390,16,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,1391,15,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1392,18,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1393,11,Moderately satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,1394,12,.i:  Inapplicable,Not satisfied at all,Very good,.i:  Inapplicable
2018,1395,12,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1396,19,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,1397,9,Very satisfied,More or less satisfied,Good,Somewhat satisfied
2018,1398,13,.i:  Inapplicable,Not satisfied at all,Very good,.i:  Inapplicable
2018,1399,12,.i:  Inapplicable,More or less satisfied,Excellent,Completely satisfied
2018,1400,16,Moderately satisfied,Not satisfied at all,Very good,Mostly satisfied
2018,1401,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1402,11,.i:  Inapplicable,More or less satisfied,Poor,.i:  Inapplicable
2018,1403,13,Moderately satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1404,16,Moderately satisfied,Not satisfied at all,Poor,Somewhat dissatisfied
2018,1405,15,.i:  Inapplicable,Not satisfied at all,Good,Mostly satisfied
2018,1406,18,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,1407,12,.i:  Inapplicable,More or less satisfied,Good,Mostly satisfied
2018,1408,14,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,1409,10,A little dissatisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,1410,13,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1411,12,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,1412,10,.d:  Do not Know/Cannot Choose,Not satisfied at all,Good,.i:  Inapplicable
2018,1413,13,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,1414,12,Moderately satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1415,15,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1416,15,A little dissatisfied,Not satisfied at all,Poor,.i:  Inapplicable
2018,1417,14,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,1418,10,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1419,11,Moderately satisfied,Not satisfied at all,Fair,Mostly satisfied
2018,1420,14,Moderately satisfied,Pretty well satisfied,Fair,.i:  Inapplicable
2018,1421,14,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1422,14,Very satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,1423,11,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,1424,18,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1425,16,Moderately satisfied,More or less satisfied,Good,Mostly satisfied
2018,1426,15,Moderately satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,1427,16,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,1428,10,.i:  Inapplicable,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1429,14,Very satisfied,More or less satisfied,Good,Somewhat dissatisfied
2018,1430,16,.i:  Inapplicable,More or less satisfied,Good,.i:  Inapplicable
2018,1431,14,.i:  Inapplicable,Not satisfied at all,Very good,Completely satisfied
2018,1432,14,A little dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1433,16,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1434,15,Very satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,1435,14,Very satisfied,Not satisfied at all,Very good,Mostly satisfied
2018,1436,17,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,1437,15,.i:  Inapplicable,Pretty well satisfied,Excellent,Neither satisfied nor dissatisfied
2018,1438,17,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1439,12,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1440,16,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,1441,12,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1442,14,.i:  Inapplicable,More or less satisfied,Excellent,.d:  Do not Know/Cannot Choose
2018,1443,16,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,1444,16,Very dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1445,16,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,1446,18,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,1447,16,Very satisfied,Not satisfied at all,Excellent,Somewhat dissatisfied
2018,1448,10,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1449,10,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,1450,12,.i:  Inapplicable,Not satisfied at all,Good,Somewhat satisfied
2018,1451,12,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,1452,12,.i:  Inapplicable,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1453,13,Very satisfied,More or less satisfied,Very good,Completely satisfied
2018,1454,18,Very satisfied,Not satisfied at all,Good,Somewhat satisfied
2018,1455,8,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,1456,12,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,Somewhat satisfied
2018,1457,11,Moderately satisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,1458,13,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1459,16,Very dissatisfied,Not satisfied at all,Poor,.i:  Inapplicable
2018,1460,18,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1461,15,.i:  Inapplicable,Pretty well satisfied,Excellent,Mostly satisfied
2018,1462,12,Moderately satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,1463,13,.i:  Inapplicable,More or less satisfied,Fair,Neither satisfied nor dissatisfied
2018,1464,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1465,12,Very satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,1466,16,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1467,20,.i:  Inapplicable,Not satisfied at all,Poor,.i:  Inapplicable
2018,1468,15,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,1469,13,Very satisfied,Pretty well satisfied,Very good,Completely satisfied
2018,1470,13,Very dissatisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1471,17,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,1472,9,A little dissatisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,1473,14,A little dissatisfied,Not satisfied at all,Poor,.i:  Inapplicable
2018,1474,11,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,1475,8,A little dissatisfied,Not satisfied at all,Poor,Neither satisfied nor dissatisfied
2018,1476,14,Moderately satisfied,Not satisfied at all,Fair,Somewhat satisfied
2018,1477,12,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1478,16,Moderately satisfied,Not satisfied at all,.d:  Do not Know/Cannot Choose,Mostly satisfied
2018,1479,16,Moderately satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,1480,12,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1481,12,Moderately satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,1482,14,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1483,16,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,1484,16,A little dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1485,16,Moderately satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,1486,14,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,1487,12,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,1488,16,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,1489,18,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,1490,17,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,1491,16,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1492,18,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,1493,16,A little dissatisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,1494,13,Very satisfied,Pretty well satisfied,Fair,Somewhat satisfied
2018,1495,12,Very satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,1496,14,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1497,12,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,1498,14,Very dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,1499,18,Moderately satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,1500,13,Moderately satisfied,Not satisfied at all,Good,Neither satisfied nor dissatisfied
2018,1501,12,A little dissatisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1502,12,.i:  Inapplicable,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1503,14,.i:  Inapplicable,More or less satisfied,Poor,.i:  Inapplicable
2018,1504,16,Very satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,1505,6,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,1506,14,Moderately satisfied,More or less satisfied,Excellent,Completely satisfied
2018,1507,13,Very satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,1508,6,Moderately satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,1509,17,Moderately satisfied,Not satisfied at all,Good,Mostly satisfied
2018,1510,13,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,1511,16,Moderately satisfied,More or less satisfied,Fair,Somewhat satisfied
